ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Raw Reporting,Input Reporting
CHE,Switzerland,0.13,0.12,0.12,0.11,0.11,0.11,0.1,0.09,0.09,0.08,0.07,0.07,0.06,0.06,0.09,0.12,,,
SYR,Syrian Arab Republic,0.29,0.28,0.27,0.27,0.26,0.25,0.25,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.25,0.27,,,
TJK,Tajikistan,0.45,0.45,0.44,0.44,0.43,0.42,0.42,0.41,0.4,0.39,0.39,0.38,0.37,0.37,0.39,0.42,,,
TZA,"Tanzania, United Republic of",0.7,0.7,0.7,0.7,0.69,0.69,0.68,0.67,0.65,0.64,0.63,0.61,0.6,0.59,0.61,0.63,,,
THA,Thailand,0.33,0.33,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.32,0.35,0.38,,,
TLS,Timor-Leste,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,,,
TGO,Togo,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.49,0.48,0.47,0.47,0.46,0.45,0.47,0.5,,,
TON,Tonga,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.29,0.32,,,
TTO,Trinidad and Tobago,0.32,0.32,0.32,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.34,0.37,,,
TUN,Tunisia,0.27,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.21,0.24,0.27,,,
