"ISO3","name",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"PHL","Philippines",16.7,17.4,17.7,19.8,20,16.5,13,9.5,9.9,9.7,9.5,9.31,9.11,8.91,8.71,8.51,
"POL","Poland",65.3,65.4,65.7,65.6,65.6,68.3,68.3,68.98,69.66,68.09,66.53,66.79,67.59,68.15,66.79,65.43,
"PRT","Portugal",79.12,80.84,82.56,84.28,86,86,86,86,86,86,84.28,82.56,80.84,79.12,77.4,75.68,
"QAT","Qatar",90,90,90,90,90,90,88.2,86.4,84.6,82.8,81,79.2,77.4,75.6,73.8,72,
"ROU","Romania",51,52.3,52.8,53.1,53,49.5,50.5,50.4,30.2,30.2,29.6,28.99,28.39,27.78,27.18,26.58,
"RUS","Russian Federation",63.17,64.51,65.86,67.2,67.4,70.23,73.07,75.9,78.73,81.57,84.4,80.92,80.06,78.46,76.86,75.26,
"RWA","Rwanda",9.9,10.91,11.92,12.93,13.94,14.96,15.97,16.98,17.99,19,18.62,18.24,17.86,17.48,17.1,16.72,
"KNA","Saint Kitts and Nevis",42.5,42.5,42.5,42.5,42.5,41.65,40.8,39.95,39.1,38.25,37.4,36.55,35.7,34.85,34,33.15,
"LCA","Saint Lucia",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
"VCT","Saint Vincent and the Grenadines",59.22,60.48,61.74,63,65,68,70,70,70,68.6,67.2,65.8,64.4,63,61.6,60.2,
"WSM","Samoa",14.21,14.21,14.21,14.21,14.21,14.21,14.21,14.21,14.21,14.21,14.21,14.21,14.21,14.21,14.21,14.21,
"SMR","San Marino",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
"STP","Sao Tome and Principe",68,68.1,68.1,68.1,68.1,68.1,68.1,66.74,65.38,64.01,62.65,61.29,59.93,58.57,57.2,55.84,
"SAU","Saudi Arabia",30.1,29.8,30.1,30.03,29.97,29.9,28.21,26.53,24.84,23.16,21.47,21.04,20.61,20.18,19.75,19.32,
"SEN","Senegal",28.5,29.3,29.3,29.3,29.3,29.3,29.29,29.27,29.26,28.67,28.09,27.5,26.92,26.33,25.75,25.16,
"SRB","Serbia",56.43,57.68,58.94,60.19,61.45,62.7,60.83,58.96,57.09,55.22,53.35,51.48,49.61,47.74,46.79,45.83,
"SYC","Seychelles",62.8,80.3,84.5,86.42,88.33,90.25,92.17,94.08,96,95.99,95.98,96.02,96.46,96.46,94.53,92.6,
"SLE","Sierra Leone",8,8,8,8,7.9,7.9,7.95,8,7.84,7.68,7.52,7.36,7.2,7.04,6.88,6.72,
"SGP","Singapore",97.3,97.3,97.3,100,100,100,100,100,100,100,100,100,100,100,98,96,
"SVK","Slovakia",85.8,85.8,86.6,86.7,86.85,87,87,87.3,87.31,87.31,87.02,87.03,85.29,83.55,81.81,80.07,
"SVN","Slovenia",80.2,81.2,81.7,100,100,100,100,100,100,100,100,100,100,100,98,96,
"SLB","Solomon Islands",2.4,2.5,2.5,2.5,2.44,2.44,2.44,2.39,2.34,2.29,2.24,2.2,2.15,2.1,2.05,2,
"SOM","Somalia",11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.56,11.33,11.09,10.86,10.62,10.38,10.15,9.91,9.68,
"ZAF","South Africa",19.31,19.7,19.7,19.7,20.3,20.3,17.3,16.95,16.61,16.26,15.92,15.57,15.22,14.88,14.53,14.19,
"ESP","Spain",99,99,99,99,99,99,99,99,99,97.02,95.04,93.06,91.08,89.1,87.12,85.14,
"LKA","Sri Lanka",73.82,75.54,77.26,78.97,80.69,82.41,84.12,85.84,81,79.38,77.76,76.14,74.52,72.9,71.28,69.66,
"SDN","Sudan",36.2,36.3,36.3,36.3,36.3,36.3,36.3,35.57,34.85,34.12,33.4,32.67,31.94,31.22,30.49,29.77,
"SUR","Suriname",26,26,26,26,26,26,26,26,26.25,25.73,25.2,24.68,24.15,23.63,23.1,22.58,
"SWZ","Swaziland",29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,
"SWE","Sweden",26.17,26.8,27.42,28.04,28.67,29.29,29.91,30.54,31.16,30.51,31.48,31.65,31.66,23.57,23.1,22.63,
"CHE","Switzerland",84,86,88,90,92,94,96,98,100,100,100,100,100,100,98,96,
"SYR","Syrian Arab Republic",78.62,80.5,82.37,84.24,86.11,87.98,89.86,91.73,93.6,94.58,95.15,95.75,92.98,91.03,89.21,87.39,
"TJK","Tajikistan",82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,
"TZA","Tanzania, United Republic of",7.25,7.42,7.59,7.77,7.94,8.11,8.28,8.46,8.63,8.38,8.13,7.88,7.63,7.38,7.23,7.08,
"THA","Thailand",97.4,97.5,97.5,97.5,97.5,98.5,96.53,94.56,92.59,90.62,88.65,86.68,84.71,82.74,80.77,78.8,
"TLS","Timor-Leste",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
"TGO","Togo",31.6,31.6,31.6,31.6,31.6,31.6,31.6,29.83,28.07,26.3,24.53,22.77,21,20.58,20.16,19.74,
"TON","Tonga",27,27,27,27,27,27,27,26.46,25.92,25.38,24.84,24.3,23.76,23.22,22.68,22.14,
"TTO","Trinidad and Tobago",51,51.1,51.1,51.1,51.1,51.1,51.1,50.08,49.06,48.03,47.01,45.99,44.97,43.95,42.92,41.9,
"TUN","Tunisia",78.8,78.9,78.9,63.7,63.8,68.4,65.4,65.53,65.67,65.8,68.15,70.49,72.84,75.18,73.68,72.17,
"TUR","Turkey",23,25,25,28,34,33.32,32.64,31.96,31.28,30.6,29.92,29.24,28.56,27.88,27.2,26.52,
"TKM","Turkmenistan",74.7,76.33,77.95,79.58,81.2,81.2,81.2,79.58,77.95,76.33,74.7,73.08,71.46,69.83,68.21,66.58,
"TUV","Tuvalu",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
"UGA","Uganda",23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,
"UKR","Ukraine",94.8,95,95,96.5,96.6,96.7,96.7,96.8,96.4,97.2,97.42,97.66,97.75,97.81,95.85,93.9,
"ARE","United Arab Emirates",100,100,100,100,100,100,98,96,94,92,90,88,86,84,82,80,
"GBR","United Kingdom",100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,96,
"USA","United States",55.61,56.93,58.26,59.58,60.9,62.23,63.55,64.88,66.2,64.5,65.34,65.23,65.12,67.37,66.02,64.68,
"URY","Uruguay",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
"UZB","Uzbekistan",87.2,87.3,87.3,87.3,87.3,87.3,87.3,85.55,83.81,82.06,80.32,78.57,76.82,75.08,73.33,71.59,
"VUT","Vanuatu",23.8,23.9,23.9,23.9,23.9,23.9,23.9,23.42,22.94,22.47,21.99,21.51,21.03,20.55,20.08,19.6,
"VEN","Venezuela, Bolivarian Republic of",35.4,35.4,33.6,33.6,33.6,33.6,33.6,32.93,32.26,31.58,30.91,30.24,29.57,28.9,28.22,27.55,
"VNM","Viet Nam",25.9,25.1,25.1,25.1,28.23,31.36,34.5,37.63,40.76,43.89,45.43,46.96,47.62,46.67,45.72,44.77,
"YEM","Yemen",7.9,8.1,8.17,8.23,8.3,8.37,8.43,8.5,8.57,8.63,8.7,8.53,8.35,8.18,8,7.83,
"ZMB","Zambia",22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,
"ZWE","Zimbabwe",48,47.4,47.4,47.4,40.3,33.2,26.1,19,18.62,18.24,17.86,17.48,17.1,16.72,16.34,15.96,
