"ISO3","name",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"MCO","Monaco",,,,,,,,,1.23,1.08,1.04,1.06,1.08,1.07,1.09,,
"MKD","Macedonia",,0.22,,-0.91,,-0.84,,-0.97,-0.99,-1.09,-0.99,-0.62,-0.35,-0.24,-0.22,,
"MNG","Mongolia",,0.58,,0.39,,0.8,,1.07,0.87,0.56,0.82,0.51,0.51,0.39,0.33,,
"MNE","Montenegro",,,,,,,,,,,,-0.21,0.01,0.54,0.55,,
"MAR","Morocco",,-0.5,,0.13,,-0.2,,-0.33,-0.36,-0.32,-0.39,-0.36,-0.38,-0.44,-0.43,,
"MOZ","Mozambique",,-0.48,,-0.05,,0.02,,0.12,0.04,-0.21,-0.02,0.45,0.3,0.31,0.48,,
"MMR","Myanmar",,-1.24,,-1.28,,-1.58,,-1.44,-1.39,-1.11,-1,-0.93,-1.32,-1.43,-1.72,,
"NAM","Namibia",,0.54,,0.48,,-0.29,,0.18,0.31,0.55,0.56,0.8,0.98,1.12,0.8,,
"NRU","Nauru",,,,,,,,,1.23,1.16,1.13,1.11,1.17,1.08,1.46,,
"NPL","Nepal",,-0.54,,-0.73,,-1.18,,-1.8,-1.92,-2.04,-2.37,-2.13,-2.21,-2.04,-1.81,,
"NLD","Netherlands",,1.19,,1.43,,1.43,,1.29,1.19,1.06,0.97,0.89,0.82,0.91,0.95,,
"NZL","New Zealand",,1.08,,1.27,,1.15,,1.24,1.23,1.43,1.2,1.18,1.19,1.13,0.99,,
"NIC","Nicaragua",,-0.67,,-0.57,,-0.08,,-0.08,-0.3,-0.27,-0.28,-0.5,-0.26,-0.34,-0.51,,
"NER","Niger",,-0.03,,-0.48,,-0.15,,-0.25,0,-0.56,-0.49,-0.38,-0.55,-0.69,-1.17,,
"NGA","Nigeria",,-1.64,,-0.79,,-1.54,,-1.63,-1.56,-1.73,-1.8,-2.06,-2.09,-1.98,-1.95,,
"NOR","Norway",,1.18,,1.28,,1.31,,1.45,1.27,1.24,1.23,1.21,1.15,1.25,1.19,,
"OMN","Oman",,0.47,,0.69,,0.86,,0.78,0.81,0.83,0.78,0.78,0.85,0.89,0.81,,
"PAK","Pakistan",,-1.48,,-1.39,,-1.09,,-1.54,-1.61,-1.64,-1.74,-2.04,-2.49,-2.66,-2.76,,
"PLW","Palau",,,,,,,,,1.23,1.16,1.13,1.11,1.17,1.08,1.46,,
"PAN","Panama",,0.21,,0.05,,0.26,,0.38,0.19,0.21,0.01,0.08,0.09,0.03,0.15,,
"PNG","Papua New Guinea",,-1.35,,-0.26,,-0.45,,-0.7,-0.76,-0.71,-0.79,-0.72,-0.61,-0.5,-0.61,,
"PRY","Paraguay",,-0.25,,-1.03,,-1.07,,-1.24,-0.85,-0.43,-0.59,-0.68,-0.64,-0.63,-0.99,,
"PER","Peru",,-1.33,,-0.75,,-0.89,,-0.72,-0.97,-0.82,-0.96,-0.87,-0.72,-0.82,-0.93,,
"PHL","Philippines",,-0.6,,-0.18,,-0.86,,-0.61,-1.24,-1.32,-1.02,-1.35,-1.34,-1.45,-1.42,,
"POL","Poland",,0.78,,0.7,,0.48,,0.74,0.71,0.28,0.43,0.43,0.67,0.88,0.91,,
"PRT","Portugal",,0.99,,1.18,,1.13,,1.28,1.25,1.01,0.92,0.87,0.78,0.96,0.79,,
"QAT","Qatar",,0.33,,0.96,,1.03,,0.65,0.95,0.91,0.88,0.92,0.9,1.05,1.12,,
"ROU","Romania",,0.39,,0.19,,0.02,,0.45,0.4,0.17,0.22,0.25,0.29,0.26,0.4,,
"RUS","Russian Federation",,-0.95,,-0.75,,-0.7,,-0.5,-0.83,-1.01,-0.89,-0.73,-0.67,-0.61,-0.72,,
"RWA","Rwanda",,-1.99,,-2.15,,-1.81,,-1.79,-1.16,-1.17,-0.86,-0.64,-0.29,-0.21,-0.33,,
"KNA","Saint Kitts and Nevis",,,,,,,,,1.23,1.49,1.39,1.29,0.83,0.98,1.17,,
"LCA","Saint Lucia",,1.04,,0.26,,1.08,,0.29,1.23,1.28,1.07,0.91,0.64,0.69,0.75,,
"VCT","Saint Vincent and the Grenadines",,1.04,,1.05,,1.08,,0.29,0.94,1.24,1.28,1.08,0.79,0.82,0.9,,
"WSM","Samoa",,1.04,,1.25,,1.14,,1.03,1.29,1.16,1.14,1.15,1.05,1.14,1.08,,
"SMR","San Marino",,,,,,,,,1.23,1.16,1.13,1.11,1.17,1.08,1.46,,
"STP","Sao Tome and Principe",,1.04,,0.99,,0.99,,0.47,0.25,0.71,0.71,0.36,0.44,0.24,0.22,,
"SAU","Saudi Arabia",,-0.55,,-0.11,,0.02,,-0.34,-0.19,-0.88,-0.55,-0.54,-0.49,-0.36,-0.37,,
"SEN","Senegal",,-0.61,,-0.96,,-0.5,,-0.3,-0.29,-0.04,-0.18,-0.27,-0.2,-0.11,-0.15,,
"SRB","Serbia",,-1.11,,-1.95,,-1.7,,-0.79,-0.8,-0.86,-0.87,-0.66,-0.64,-0.57,-0.5,,
"SYC","Seychelles",,1.04,,0.99,,1.14,,0.82,0.6,0.75,0.97,0.96,0.87,0.79,0.71,,
"SLE","Sierra Leone",,-2.26,,-2.17,,-1.89,,-0.89,-1.11,-0.34,-0.39,-0.46,-0.24,-0.35,-0.4,,
"SGP","Singapore",,0.79,,0.87,,1.02,,1.15,0.95,1.13,1.07,1.19,1.14,1.3,1.15,,
"SVK","Slovakia",,0.68,,1.09,,0.55,,0.87,0.94,0.6,0.83,0.75,0.95,1.03,0.89,,
"SVN","Slovenia",,1.02,,1.07,,0.92,,1.16,1.12,0.99,0.99,1.04,1.05,1.08,0.87,,
"SLB","Solomon Islands",,1.04,,1.05,,-0.88,,-0.55,0.08,0.09,0.26,0.22,0.39,0.33,0.35,,
"SOM","Somalia",,-2.29,,-2.37,,-2.48,,-2.34,-2.36,-2.6,-2.65,-2.74,-3.21,-3.28,-3.31,,
"ZAF","South Africa",,-1.34,,-0.86,,-0.35,,-0.19,-0.19,0.03,0.04,0.2,0.28,0.17,0.02,,
"ESP","Spain",,0.19,,0.35,,0.68,,0.6,0.43,0.39,0.48,0.09,-0.01,-0.08,-0.18,,
"LKA","Sri Lanka",,-2.09,,-1.38,,-1.58,,-0.84,-0.89,-1.09,-1.33,-1.57,-1.96,-1.98,-1.33,,
"SDN","Sudan",,-2.56,,-2.05,,-2.38,,-2.02,-2.12,-1.81,-2.1,-2.11,-2.33,-2.43,-2.65,,
"SUR","Suriname",,0.52,,0.33,,0.25,,0.42,0.5,0.29,0.23,0,-0.02,0.11,0.18,,
"SWZ","Swaziland",,0.01,,-0.07,,-0.09,,0.25,0.01,0.15,-0.13,-0.21,0.07,-0.04,0.02,,
"SWE","Sweden",,1.18,,1.32,,1.29,,1.32,1.35,1.33,1.24,1.25,1.24,1.15,1.1,,
"CHE","Switzerland",,1.19,,1.33,,1.39,,1.39,1.25,1.22,1.14,1.24,1.2,1.2,1.21,,
"SYR","Syrian Arab Republic",,-0.82,,-0.3,,-0.65,,-0.23,-0.26,-0.65,-0.89,-0.62,-0.58,-0.55,-0.68,,
"TJK","Tajikistan",,-2.57,,-2.26,,-1.86,,-1.38,-1.35,-1.4,-1.41,-1.38,-0.83,-0.84,-1,,
"TZA","Tanzania, United Republic of",,-0.23,,-0.14,,-0.51,,-0.23,-0.65,-0.47,-0.4,-0.18,-0.16,-0.05,0.08,,
"THA","Thailand",,0.13,,0.48,,0.43,,0.5,0.06,-0.37,-0.54,-0.92,-1,-1.09,-1.11,,
"TLS","Timor-Leste",,,,,,0.3,,-0.57,-0.23,-0.34,-0.67,-1.16,-1.1,-0.81,-0.48,,
"TGO","Togo",,-0.53,,-0.71,,-0.17,,0.01,-0.33,-0.37,-1.6,-0.68,-0.44,-0.26,-0.21,,
"TON","Tonga",,,,,,,,,0.65,0.84,0.78,0.53,0.38,0.37,0.2,,
"TTO","Trinidad and Tobago",,0.46,,0.43,,0.07,,-0.15,-0.22,-0.02,-0.04,-0.1,-0.02,0.05,0.02,,
"TUN","Tunisia",,0.05,,0.24,,0.27,,0.11,0.28,0.05,0.09,0.31,0.24,0.21,0.23,,
"TUR","Turkey",,-1.76,,-1.13,,-1,,-1,-0.75,-0.79,-0.45,-0.53,-0.74,-0.68,-0.88,,
"TKM","Turkmenistan",,0.21,,0.12,,-0.01,,-0.39,-0.59,-0.71,-0.23,-0.31,0.04,0.25,0.18,,
"TUV","Tuvalu",,,,,,,,,1.23,1.31,1.41,1.39,1.38,1.38,1.45,,
"UGA","Uganda",,-1.21,,-1.23,,-1.62,,-1.64,-1.52,-1.33,-1.28,-1.24,-1.06,-0.99,-1.06,,
"UKR","Ukraine",,-0.08,,-0.13,,-0.22,,-0.09,-0.21,-0.31,-0.24,0.05,0.18,0.09,-0.27,,
