ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,
VCT,Saint Vincent and the Grenadines,3.7881,3.7881,3.7881,3.7881,3.7881,3.7881,4.034,4.034,4.034,4.034,4.034,4.034,4.034,4.034,4.034,4.034,4.034,4.034
WSM,Samoa,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.340000033,0.94,1.243666649,1.547333241,1.851,1.850999951,1.851,1.851,1.851
SMR,San Marino,8.318,8.318,8.318,8.318,8.318,8.318,8.318,8.318,8.318,8.318,8.318,8.318,8.318,8.318,8.318,8.318,8.318,8.318
STP,Sao Tome and Principe,1.867,1.867,1.867,1.867,1.867,1.867,1.867,1.867,1.867,1.867,1.867,1.867,1.867,1.867,1.867,1.867,1.867,1.867
SAU,Saudi Arabia,2.97,2.97,2.97,2.97,2.97,2.97,2.97,2.97,2.97,2.97,3.190666676,3.411333323,3.632,2.098,2.09800005,2.098,2.098,2.098
SEN,Senegal,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.344999999,0.370000005,0.394999981,0.42,0.419999987,0.42,0.42,0.42
SRB,Serbia,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.43,4.469666481,4.509333134,4.549,4.549,4.549
SYC,Seychelles,7.925,7.925,7.925,7.925,7.925,7.925,7.925,7.925,7.925,7.925,7.925,7.925,7.925,7.925,7.925,7.925,7.925,7.925
SLE,Sierra Leone,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.409500003,0.328999996,0.24849999,0.168,0.166999996,0.166,0.166,0.166
SGP,Singapore,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.684571743,4.969142914,5.253714561,5.538285732,5.82285738,6.107428551,6.392,6.392,6.392
SVK,Slovakia,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.606666565,6.593333244,6.58,3.453999996,0.328,0.328,0.328
SVN,Slovenia,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.813,7.986499786,8.16,8.38599968,8.612,8.612,8.612
