ISO3,name,"1,995.","1,996.","1,997.","1,998.","1,999.","2,000.","2,001.","2,002.","2,003.","2,004.","2,005.","2,006.","2,007.","2,008.","2,009.","2,010."
ROU,Romania,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
RUS,Russian Federation,65.22,66.19,66.95,66.78,66.04,65.34,65.49,65.09,65.01,65.42,65.47,66.64,67.50,67.84,66.49,65.13
RWA,Rwanda,29.10,32.03,35.28,38.33,40.95,43.00,44.50,45.66,46.66,47.54,48.32,49.01,49.61,50.13,49.13,48.13
KNA,Saint Kitts and Nevis,69.20,69.62,70.04,70.30,70.56,70.82,71.08,71.34,69.91,68.48,67.06,65.63,64.20,62.78,61.35,59.92
LCA,Saint Lucia,71.43,71.55,71.76,71.45,71.30,71.11,73.95,73.71,73.74,73.24,72.74,71.28,69.83,68.37,66.92,65.47
VCT,Saint Vincent and the Grenadines,70.02,70.10,70.17,70.22,70.28,70.35,70.44,70.55,70.69,70.85,71.04,71.24,71.45,71.66,70.22,68.79
WSM,Samoa,67.52,67.96,68.37,68.75,69.11,69.45,69.77,70.08,70.37,70.66,70.94,71.22,71.49,71.75,70.32,68.88
SMR,San Marino,82.19,82.19,82.19,82.19,82.19,82.19,82.19,82.19,82.19,82.19,82.19,82.19,82.19,82.19,82.19,82.19
STP,Sao Tome and Principe,62.93,63.07,63.21,63.37,63.54,63.73,63.94,64.15,64.38,64.61,64.84,65.08,65.31,65.53,64.22,62.91
SAU,Saudi Arabia,70.02,70.34,70.62,70.88,71.12,71.34,71.55,71.76,71.98,72.20,72.43,72.66,72.89,73.12,71.66,70.19
SEN,Senegal,53.19,53.37,53.55,53.72,53.89,54.06,54.24,54.40,54.56,54.73,54.91,55.10,55.33,55.60,54.48,53.37
SRB,Serbia,71.86,71.95,72.04,72.07,72.10,72.14,72.19,72.29,72.44,72.58,72.63,73.16,73.38,73.64,72.16,70.69
SYC,Seychelles,71.12,71.27,71.41,71.72,72.03,72.34,72.65,72.95,71.03,72.61,72.13,72.22,73.19,73.16,71.70,70.24
SLE,Sierra Leone,38.21,38.52,39.09,39.87,40.81,41.85,42.92,43.95,44.89,45.69,46.33,46.84,47.25,47.60,46.65,45.70
SGP,Singapore,76.40,76.75,77.05,77.40,77.55,78.05,78.35,78.70,79.04,79.49,79.99,80.14,80.44,80.74,79.13,77.51
SVK,Slovakia,72.25,72.65,72.70,72.57,72.93,73.20,73.55,73.65,73.75,73.96,74.02,74.32,74.42,74.81,73.31,71.82
SVN,Slovenia,73.44,74.43,74.72,74.77,74.93,75.91,76.20,76.45,76.40,77.61,77.32,78.11,78.25,78.97,77.39,75.81
SLB,Solomon Islands,59.58,60.11,60.62,61.13,61.66,62.19,62.72,63.26,63.80,64.32,64.84,65.33,65.81,66.26,64.93,63.60
SOM,Somalia,44.71,45.44,46.24,47.03,47.75,48.34,48.79,49.10,49.31,49.44,49.52,49.58,49.68,49.84,48.84,47.84
ZAF,South Africa,60.49,59.81,58.97,57.98,56.90,55.79,54.71,53.73,52.88,52.22,51.77,51.52,51.43,51.48,50.45,49.42
ESP,Spain,77.98,78.12,78.60,78.68,78.68,78.97,79.02,79.16,79.56,80.09,80.24,80.99,80.96,81.09,79.47,77.84
LKA,Sri Lanka,69.52,69.47,69.58,69.89,70.40,71.05,71.76,72.44,73.01,73.44,73.73,73.90,74.01,74.13,72.64,71.16
SDN,Sudan,54.43,54.79,55.13,55.46,55.76,56.05,56.31,56.56,56.80,57.04,57.29,57.55,57.84,58.15,56.98,55.82
SUR,Suriname,67.96,68.04,68.11,68.15,68.17,68.18,68.20,68.23,68.29,68.38,68.50,68.66,68.83,69.02,67.64,66.26
SWZ,Swaziland,59.13,57.94,56.41,54.62,52.65,50.67,48.84,47.27,46.07,45.29,44.95,44.99,45.30,45.77,44.85,43.93
SWE,Sweden,78.74,78.96,79.20,79.34,79.43,79.65,79.75,79.85,80.11,80.50,80.64,80.87,81.01,81.24,79.61,77.99
CHE,Switzerland,78.42,78.90,79.08,79.32,79.57,79.68,80.09,80.30,80.49,81.09,81.29,81.66,81.86,82.16,80.52,78.88
SYR,Syrian Arab Republic,70.49,70.91,71.31,71.68,72.03,72.35,72.64,72.91,73.16,73.39,73.62,73.83,74.03,74.23,72.74,71.26
TJK,Tajikistan,62.38,62.56,62.81,63.10,63.42,63.75,64.11,64.49,64.90,65.31,65.71,66.09,66.44,66.75,65.41,64.08
TZA,"Tanzania, United Republic of",49.89,49.87,49.93,50.09,50.34,50.69,51.14,51.67,52.27,52.92,53.59,54.28,54.97,55.65,54.53,53.42
THA,Thailand,68.40,68.31,68.25,68.20,68.18,68.18,68.19,68.23,68.28,68.35,68.43,68.55,68.69,68.86,67.48,66.11
TLS,Timor-Leste,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TGO,Togo,58.70,58.91,59.11,59.31,59.50,59.71,59.95,60.22,60.55,60.91,61.30,61.71,62.12,62.51,61.26,60.01
TON,Tonga,70.12,70.24,70.36,70.49,70.63,70.76,70.90,71.04,71.18,71.32,71.46,71.60,71.74,71.88,70.44,69.00
TTO,Trinidad and Tobago,69.04,68.95,68.83,68.70,68.56,68.43,68.35,68.33,68.37,68.48,68.65,68.86,69.10,69.34,67.95,66.57
TUN,Tunisia,71.35,71.55,71.90,72.05,72.50,72.60,72.85,73.00,73.05,73.30,73.50,73.90,74.20,74.30,72.82,71.33
TUR,Turkey,67.60,68.13,68.63,69.11,69.56,69.97,70.34,70.67,70.95,71.19,71.39,71.57,71.73,71.89,70.45,69.02
TKM,Turkmenistan,63.03,63.21,63.40,63.58,63.75,63.89,64.01,64.11,64.20,64.28,64.37,64.49,64.63,64.82,63.52,62.23
TUV,Tuvalu,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
UGA,Uganda,45.31,45.18,45.21,45.41,45.75,46.24,46.88,47.62,48.44,49.30,50.18,51.04,51.87,52.67,51.61,50.56
UKR,Ukraine,67.12,67.31,67.30,67.97,68.19,67.86,68.29,68.28,68.21,68.19,67.96,68.08,68.22,68.25,66.89,65.52
